Week,Snail,Infected,Food,Length,Eggs,C_Eggs,Cerc,C_Cercs,Alive
13,112,Y,Good (chicken) ,16.8,0,40,4399.96,16410,1
14,112,Y,Good (chicken) ,17,0,40,1415.76,17826,1
1,113,N,Good (chicken) ,5.9,0,0,,,1
2,113,N,Good (chicken) ,8.5,0,0,,,1
3,113,N,Good (chicken) ,9.8,0,0,,,1
4,113,N,Good (chicken) ,10.6,0,0,,,1
5,113,N,Good (chicken) ,11.2,32,32,,,1
6,113,N,Good (chicken) ,11.8,0,32,,,1
7,113,N,Good (chicken) ,12.6,0,32,,,1
8,113,N,Good (chicken) ,12.8,98,130,,,1
9,113,N,Good (chicken) ,12.9,139,269,,,1
10,113,N,Good (chicken) ,13.1,86,355,,,1
11,113,N,Good (chicken) ,14.2,69,424,,,1
12,113,N,Good (chicken) ,14.6,61,485,,,1
13,113,N,Good (chicken) ,14.8,0,485,,,1
14,113,N,Good (chicken) ,15.1,43,528,,,1
1,114,N,Good (chicken) ,5.3,0,0,,,1
2,114,N,Good (chicken) ,8,0,0,,,1
3,114,N,Good (chicken) ,9.2,0,0,,,1
4,114,N,Good (chicken) ,10,0,0,,,1
5,114,N,Good (chicken) ,10.6,52,52,,,1
6,114,N,Good (chicken) ,11.2,93,145,,,1
7,114,N,Good (chicken) ,11.7,114,259,,,1
8,114,N,Good (chicken) ,12.1,144,403,,,1
9,114,N,Good (chicken) ,12.5,79,482,,,1
10,114,N,Good (chicken) ,13,172,654,,,1
11,114,N,Good (chicken) ,13.3,117,771,,,1
12,114,N,Good (chicken) ,14,171,942,,,1
13,114,N,Good (chicken) ,14,55,997,,,1
14,114,N,Good (chicken) ,14.6,28,1025,,,1
1,115,N,Good (chicken) ,5.5,0,0,,,1
2,115,N,Good (chicken) ,8.4,0,0,,,1
3,115,N,Good (chicken) ,9.5,0,0,,,1
4,115,N,Good (chicken) ,10.1,0,0,,,1
5,115,N,Good (chicken) ,10.7,89,89,,,1
6,115,N,Good (chicken) ,11.2,124,213,,,1
7,115,N,Good (chicken) ,11.6,121,334,,,1
8,115,N,Good (chicken) ,12.6,30,364,,,1
9,115,N,Good (chicken) ,12.7,62,426,,,1
10,115,N,Good (chicken) ,13.2,105,531,,,1
11,115,N,Good (chicken) ,13.8,0,531,,,1
12,115,N,Good (chicken) ,14.5,75,606,,,1
13,115,N,Good (chicken) ,14.7,40,646,,,1
14,115,N,Good (chicken) ,15,80,726,,,1
1,116,N,Good (chicken) ,5.7,0,0,,,1
2,116,N,Good (chicken) ,8,0,0,,,1
3,116,N,Good (chicken) ,9.7,0,0,,,1
4,116,N,Good (chicken) ,10.6,0,0,,,1
5,116,N,Good (chicken) ,11.6,68,68,,,1
6,116,N,Good (chicken) ,12.4,38,106,,,1
7,116,N,Good (chicken) ,12.7,104,210,,,1
8,116,N,Good (chicken) ,13.9,93,303,,,1
9,116,N,Good (chicken) ,13.8,37,340,,,1
10,116,N,Good (chicken) ,14.3,226,566,,,1
11,116,N,Good (chicken) ,14.7,116,682,,,1
12,116,N,Good (chicken) ,15.5,165,847,,,1
13,116,N,Good (chicken) ,15.7,43,890,,,1
14,116,N,Good (chicken) ,16,102,992,,,1
1,117,N,Good (chicken) ,5.3,0,0,,,1
2,117,N,Good (chicken) ,8,0,0,,,1
3,117,N,Good (chicken) ,9.1,0,0,,,1
4,117,N,Good (chicken) ,9.9,0,0,,,1
5,117,N,Good (chicken) ,10.6,0,0,,,1
6,117,N,Good (chicken) ,11.2,106,106,,,1
7,117,N,Good (chicken) ,11.6,114,220,,,1
8,117,N,Good (chicken) ,12.6,97,317,,,1
9,117,N,Good (chicken) ,12.9,94,411,,,1
10,117,N,Good (chicken) ,13.1,70,481,,,1
11,117,N,Good (chicken) ,13.5,56,537,,,1
12,117,N,Good (chicken) ,14.2,44,581,,,1
13,117,N,Good (chicken) ,14.6,17,598,,,1
14,117,N,Good (chicken) ,15,19,617,,,1
1,118,N,Good (chicken) ,5.6,0,0,,,1
2,118,N,Good (chicken) ,8.6,0,0,,,1
3,118,N,Good (chicken) ,9.9,0,0,,,1
4,118,N,Good (chicken) ,10.6,0,0,,,1
5,118,N,Good (chicken) ,11.5,82,82,,,1
6,118,N,Good (chicken) ,12.3,143,225,,,1
7,118,N,Good (chicken) ,12.3,153,378,,,1
8,118,N,Good (chicken) ,13.8,125,503,,,1
9,118,N,Good (chicken) ,13.6,49,552,,,1
10,118,N,Good (chicken) ,14.2,40,592,,,1
11,118,N,Good (chicken) ,14.4,14,606,,,1
12,118,N,Good (chicken) ,15.4,12,618,,,1
13,118,N,Good (chicken) ,15.9,0,618,,,1
14,118,N,Good (chicken) ,16.4,37,655,,,1
1,119,N,Good (chicken) ,5.5,0,0,,,1
2,119,N,Good (chicken) ,8.8,0,0,,,1
3,119,N,Good (chicken) ,10.4,0,0,,,1
4,119,N,Good (chicken) ,11.2,0,0,,,1
5,119,N,Good (chicken) ,12,82,82,,,1
6,119,N,Good (chicken) ,12.7,167,249,,,1
7,119,N,Good (chicken) ,12.9,239,488,,,1
8,119,N,Good (chicken) ,13.9,268,756,,,1
9,119,N,Good (chicken) ,14,197,953,,,1
10,119,N,Good (chicken) ,14.1,200,1153,,,1
11,119,N,Good (chicken) ,14.8,0,1153,,,1
12,119,N,Good (chicken) ,15.3,0,1153,,,1
13,119,N,Good (chicken) ,15.8,0,1153,,,1
14,119,N,Good (chicken) ,16.6,0,1153,,,1
1,120,N,Good (chicken) ,5,0,0,,,1
2,120,N,Good (chicken) ,7.5,0,0,,,1
3,120,N,Good (chicken) ,9.2,0,0,,,1
4,120,N,Good (chicken) ,10.3,0,0,,,1
5,120,N,Good (chicken) ,11.5,0,0,,,1
6,120,N,Good (chicken) ,12.2,0,0,,,1
7,120,N,Good (chicken) ,13,21,21,,,1
8,120,N,Good (chicken) ,13.8,38,59,,,1
9,120,N,Good (chicken) ,14.1,33,92,,,1
10,120,N,Good (chicken) ,14,,,,,0
11,120,N,Good (chicken) ,,,,,,0
12,120,N,Good (chicken) ,,,,,,0
13,120,N,Good (chicken) ,,,,,,0
14,120,N,Good (chicken) ,,,,,,0
